Day_0,Day_T,Time_0,Time_T,Duration,Moscow,Nizhny,Night_I,Night_A,Train,Note
1-Sep-23,1-Sep-23,10:35,21:00,625.00,0.00,1.00,0.00,0.00,0.00,
3-Sep-23,3-Sep-23,10:25,16:30,365.00,0.00,1.00,0.00,0.00,0.00,
5-Sep-23,5-Sep-23,15:40,19:35,235.00,0.00,1.00,0.00,0.00,0.00,
8-Sep-23,9-Sep-23,15:30,7:05,935.00,0.00,1.00,1.00,0.00,0.00,
11-Sep-23,11-Sep-23,16:30,20:00,210.00,0.00,1.00,0.00,0.00,0.00,
13-Sep-23,14-Sep-23,18:30,9:40,910.00,0.00,1.00,1.00,0.00,0.00,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
